symbol,Date,signal
DOW,10/22/15,1
MOS,11/03/15,1
GRA,10/22/15,1
WLK,11/03/15,1
CBT,11/03/15,1
CCC,11/05/15,-1
CE,10/20/15,1
CHMT,10/28/15,1
AXLL,11/03/15,1
CYT,10/23/15,1
SCL,10/21/15,1
FTK,10/22/15,-1
KS,10/29/15,1
CLW,10/30/15,1
UFS,10/30/15,1
BCC,10/22/15,1
SEE,10/27/15,1
SLGN,10/21/15,-1
BLL,10/29/15,1
BIDU,10/30/15,1
AKS,10/27/15,1
ATI,10/20/15,-1
CDE,11/03/15,1
CMC,10/28/15,-1
CMP,10/28/15,-1
KALU,10/22/15,-1
NEM,10/29/15,1
NUE,10/22/15,-1
SCCO,10/27/15,-1
SWC,10/30/15,1
RGLD,11/05/15,-1
SCHN,10/27/15,1
RS,10/22/15,1
X,11/04/15,-1
ABX,10/29/15,1
CRS,10/22/15,-1
CENX,10/30/15,-1
CLF,10/30/15,-1
GG,10/29/15,-1
HL,11/05/15,-1
FCX,10/22/15,-1
SLCA,10/28/15,-1
ARLP,10/27/15,-1
ALJ,11/03/15,1
CXO,11/05/15,1
COP,10/29/15,-1
CNX,10/27/15,-1
CLR,11/05/15,-1
CVI,10/29/15,1
HES,10/28/15,1
HFC,11/05/15,1
KMI,10/22/15,-1
MRO,11/05/15,1
MUR,10/29/15,1
NFX,11/04/15,1
NBL,11/02/15,-1
SWN,10/23/15,1
SM,10/29/15,-1
RRC,10/29/15,1
PDCE,11/05/15,-1
APC,10/28/15,-1
APA,11/05/15,1
OAS,11/04/15,-1
OXY,10/28/15,-1
TK,11/05/15,-1
TSO,10/29/15,1
UPLMQ,10/29/15,1
VLO,10/28/15,1
WLL,10/29/15,1
WMB,10/29/15,1
COG,10/23/15,-1
CRZO,11/04/15,1
CVX,10/30/15,1
XEC,11/04/15,-1
CIE,11/03/15,1
GPRE,11/03/15,1
GPOR,11/05/15,1
EQT,10/22/15,-1
XOM,10/30/15,1
DK,11/04/15,1
DNR,11/05/15,1
DVN,11/04/15,1
PSX,10/30/15,1
MPC,10/29/15,1
LNG,11/02/15,-1
WPX,11/05/15,-1
EPE,10/29/15,1
PSXP,10/30/15,1
NTI,11/03/15,1
PBF,10/29/15,1
MTDR,11/05/15,1
HOS,10/29/15,-1
MMP,11/03/15,1
NBR,10/28/15,-1
NOV,10/28/15,1
NE,10/29/15,1
SPN,10/29/15,-1
RDC,11/03/15,1
PTEN,10/22/15,1
PAA,11/04/15,1
OIS,10/30/15,1
TDW,11/04/15,1
RIG,11/05/15,1
UNT,11/03/15,1
WFT,10/22/15,1
BWP,11/02/15,1
CRR,10/29/15,1
EEP,11/02/15,1
AROC,11/04/15,-1
DO,11/02/15,1
MTRX,11/05/15,1
HLX,10/20/15,1
ACOR,10/22/15,1
IMGN,10/27/15,-1
INCY,11/03/15,1
IRWD,11/04/15,-1
MNTA,11/04/15,-1
MYGN,11/04/15,1
SGEN,10/30/15,-1
REGN,11/04/15,1
AMGN,10/29/15,1
ARIA,11/03/15,-1
UTHR,10/27/15,1
VRTX,10/29/15,1
BIIB,10/21/15,1
BMRN,10/30/15,1
CPHD,10/21/15,1
GILD,10/28/15,1
GHDX,11/04/15,1
INSY,11/05/15,1
KERX,10/29/15,-1
SGMO,10/29/15,1
DYAX,10/29/15,-1
ANAC,11/03/15,-1
AGIO,11/05/15,-1
AET,10/29/15,1
CYH,11/03/15,-1
IPCM,10/28/15,-1
KND,11/05/15,-1
LHCG,11/05/15,1
LPNT,10/30/15,1
MGLN,10/27/15,1
MCK,10/30/15,1
MD,10/29/15,1
MOH,10/30/15,1
AMSG,11/04/15,1
OMI,10/28/15,1
TMH,11/04/15,-1
THC,11/03/15,-1
WCG,11/04/15,-1
CAH,11/02/15,1
CHE,10/23/15,1
HCA,10/27/15,-1
HLS,10/29/15,-1
EXAM,11/05/15,1
ACHC,11/04/15,1
AHS,11/05/15,1
CPSI,10/30/15,-1
MDAS,11/03/15,1
QSII,10/23/15,1
ATHN,10/23/15,1
HSTM,10/20/15,1
CYOU,10/26/15,1
PFE,10/27/15,1
AGN,11/04/15,-1
LLY,10/22/15,1
PCRX,10/27/15,1
ZTS,11/03/15,1
LCI,11/05/15,1
TXMD,11/05/15,1
ABAX,10/28/15,1
ABMD,10/29/15,1
ALR,11/05/15,-1
ALGN,10/23/15,-1
CNMD,10/22/15,-1
HRC,11/05/15,1
IART,11/03/15,-1
ISRG,10/21/15,1
MMSI,10/23/15,-1
NUVA,10/28/15,1
STE,10/30/15,1
QDEL,10/29/15,1
NXTM,11/03/15,1
VAR,10/29/15,-1
WMGI,11/05/15,-1
BAX,10/27/15,1
EW,10/27/15,1
ELGX,10/27/15,1
DXCM,11/05/15,-1
HTWR,10/29/15,-1
GMED,11/04/15,1
SPNC,10/23/15,1
ZLTQ,10/28/15,1
ARAY,10/30/15,1
CSII,11/05/15,-1
ANIK,10/29/15,1
AFFX,10/29/15,1
LMNX,11/03/15,1
QGEN,10/29/15,-1
PRXL,10/29/15,1
BRKR,11/05/15,1
CRL,11/04/15,1
Q,10/28/15,1
DDD,11/04/15,-1
LXK,10/27/15,-1
NCR,10/28/15,1
SSYS,11/04/15,-1
SMCI,10/23/15,-1
SNDK,10/22/15,1
STX,10/30/15,-1
QLGC,10/23/15,1
CLS,10/21/15,-1
DBD,10/29/15,-1
CRAY,10/30/15,1
GPRO,10/29/15,-1
INFN,10/28/15,1
IDCC,10/30/15,1
JNPR,10/23/15,1
MSI,11/04/15,1
NTGR,10/23/15,1
RDWR,10/28/15,-1
CALX,10/30/15,1
HLIT,10/28/15,-1
FFIV,10/29/15,1
EXTR,10/30/15,1
CGNX,11/03/15,1
COHR,11/05/15,1
GLW,10/27/15,-1
CTS,10/27/15,-1
IM,10/30/15,1
ITRI,11/04/15,-1
LFUS,10/28/15,1
MRCY,10/28/15,1
NATI,10/28/15,1
NEWP,11/04/15,1
SCSC,10/30/15,1
ROG,10/29/15,-1
ARW,10/28/15,-1
ORBK,11/05/15,1
TRMB,10/30/15,1
TTMI,10/29/15,1
VSH,11/03/15,1
AVT,10/29/15,1
AVX,10/27/15,-1
BMI,10/20/15,-1
FLEX,10/20/15,1
FLIR,10/28/15,-1
FARO,11/04/15,-1
FEIC,10/28/15,-1
DLB,10/22/15,1
MBLY,11/03/15,1
XRX,10/26/15,1
AKAM,10/28/15,1
SCOR,11/05/15,-1
CSGP,10/29/15,1
IAC,10/27/15,1
BCOR,10/30/15,-1
LNKD,10/30/15,1
LPSN,11/05/15,1
MELI,11/05/15,1
SOHU,10/26/15,1
WBMD,11/04/15,1
YNDX,10/27/15,1
ZG,11/04/15,-1
EQIX,10/29/15,1
FB,11/05/15,1
YELP,10/29/15,-1
TWTR,10/28/15,1
ETSY,11/04/15,-1
DWRE,11/03/15,1
SPSC,10/23/15,1
MKTO,10/23/15,1
GRUB,10/27/15,-1
TNET,11/03/15,1
PRFT,11/05/15,1
EIGI,11/02/15,1
HDP,11/05/15,1
IDTI,10/27/15,1
ISIL,10/29/15,-1
KLAC,10/23/15,1
LRCX,10/22/15,1
MLNX,10/22/15,1
SLAB,10/28/15,1
PMCS,10/27/15,1
POWI,10/29/15,-1
AMKR,10/27/15,-1
ON,10/30/15,-1
TSRA,11/04/15,1
TXN,10/22/15,1
UTEK,10/22/15,-1
VECO,10/29/15,1
CCMP,10/29/15,-1
CEVA,11/02/15,1
CRUS,10/29/15,1
FSLR,10/30/15,1
FORM,10/29/15,-1
SPWR,10/29/15,1
QRVO,11/05/15,1
ACXM,11/05/15,1
CSC,11/05/15,1
NSR,10/30/15,1
SYKE,11/03/15,1
SYNT,10/21/15,1
TSS,10/28/15,1
UIS,10/22/15,1
VRTU,11/04/15,1
V,11/02/15,-1
BAH,10/28/15,1
CACI,10/29/15,1
CATM,10/30/15,1
FISV,10/28/15,1
FORR,10/29/15,1
G,11/05/15,1
EEFT,10/22/15,1
EXLS,10/29/15,1
WEX,10/28/15,-1
ACIW,11/05/15,-1
ATVI,11/03/15,1
CVLT,10/27/15,1
ININ,11/03/15,1
MANH,10/21/15,1
MSFT,10/23/15,1
TYPE,10/30/15,1
NTCT,10/29/15,1
N,10/23/15,1
SSNC,11/03/15,1
ROVI,10/29/15,-1
QLIK,10/23/15,-1
RP,11/04/15,1
AZPN,10/30/15,1
TYL,10/22/15,1
ULTI,10/28/15,1
BLKB,10/29/15,-1
EPAY,10/30/15,1
BSFT,11/04/15,1
CTXS,10/22/15,1
FTNT,10/23/15,1
EA,10/30/15,1
IMPV,10/30/15,1
NOW,10/22/15,1
FEYE,11/05/15,1
PFPT,10/22/15,1
QLYS,11/03/15,1
CVT,11/05/15,1
ELLI,10/29/15,1
KING,11/05/15,1
ZEN,11/04/15,1
SSNI,11/04/15,1
HUBS,11/05/15,1
GDDY,11/05/15,-1
FIT,11/03/15,1
TWOU,10/27/15,1
BNFT,11/05/15,1
CARB,10/28/15,1
GIMO,10/23/15,1
RUBI,10/28/15,1
ATEN,10/30/15,1
SHOR,10/23/15,1
IMMR,10/30/15,1
KN,10/27/15,1
PGND,11/05/15,1
SEDG,11/05/15,1
MB,11/05/15,1
CFMS,11/03/15,-1
ONCE,11/04/15,-1
SCMP,11/04/15,-1
ADPT,10/22/15,-1
LXU,11/06/15,-1
RNF,11/10/15,-1
FF,11/10/15,-1
BERY,11/13/15,1
VNET,11/25/15,-1
KGC,11/11/15,1
GSM,11/06/15,-1
HAYN,11/20/15,-1
IOC,11/13/15,-1
SFL,11/24/15,1
VNR,11/09/15,-1
CLNE,11/06/15,1
ECA,11/12/15,1
EGN,11/06/15,1
EOG,11/06/15,1
HK,11/06/15,1
SN,11/09/15,1
MDR,11/10/15,1
SPH,11/12/15,-1
CKH,11/09/15,-1
APU,11/10/15,-1
ATW,11/10/15,1
TTI,11/06/15,1
BRS,11/06/15,-1
HP,11/12/15,-1
DRQ,11/23/15,1
RNET,11/10/15,-1
ABCO,11/06/15,1
WAGE,11/06/15,1
NTES,11/12/15,1
CUB,11/24/15,1
TDG,11/12/15,1
ESL,11/20/15,1
BLDR,11/06/15,1
LABL,11/09/15,-1
RBA,11/06/15,1
RAVN,11/24/15,-1
ROK,11/10/15,-1
BRC,11/19/15,1
TPC,11/13/15,-1
DY,11/24/15,1
MTOR,11/11/15,1
TWI,11/06/15,-1
HSC,11/09/15,1
DE,11/25/15,1
ESE,11/13/15,-1
DSX,11/12/15,-1
CPA,11/13/15,-1
BECN,11/24/15,1
MRC,11/06/15,1
HPQ,11/25/15,1
NTAP,11/19/15,1
NMBL,11/20/15,-1
VSAT,11/10/15,-1
SATS,11/06/15,-1
MFLX,11/06/15,1
RLD,11/10/15,-1
RSTI,11/12/15,1
TECD,11/24/15,-1
OLED,11/06/15,1
DAKT,11/24/15,-1
DTSI,11/10/15,-1
ZBRA,11/10/15,1
CTCT,11/06/15,-1
CSOD,11/06/15,1
EGOV,11/06/15,1
STMP,11/06/15,1
SINA,11/19/15,1
RAX,11/10/15,1
RATE,11/06/15,1
BITA,11/09/15,-1
WB,11/19/15,1
ENT,11/06/15,-1
TRUE,11/06/15,1
YY,11/24/15,-1
NEWR,11/06/15,1
JASO,11/17/15,1
KLIC,11/17/15,-1
SMTC,11/19/15,-1
ADI,11/24/15,1
NVDA,11/06/15,1
TSL,11/23/15,-1
BRKS,11/06/15,1
DIOD,11/06/15,-1
SUNEQ,11/10/15,-1
SREV,11/06/15,1
TTEC,11/10/15,-1
INTU,11/20/15,1
MENT,11/20/15,-1
NUAN,11/17/15,1
TTWO,11/06/15,1
CRM,11/19/15,1
PRO,11/06/15,1
ADSK,11/20/15,1
EBIX,11/06/15,1
FICO,11/06/15,1
JIVE,11/10/15,1
WDAY,11/20/15,1
SPLK,11/20/15,1
TIVO,11/25/15,1
DATA,11/06/15,1
TUBE,11/10/15,1
CYBR,11/06/15,1
TPH,11/06/15,1
GLUU,11/06/15,1
BZH,11/10/15,-1
OPWR,11/11/15,1
LIOX,11/09/15,1
VRNS,11/06/15,1
WIFI,11/06/15,1
AMWD,11/24/15,1
MCRN,11/06/15,-1
RUN,11/13/15,1
RPD,11/13/15,1
ALRM,11/11/15,1
APPF,11/10/15,1
GEF,12/10/15,1
GLNG,11/30/15,-1
YGE,12/02/15,-1
FGP,12/09/15,-1
AVAV,12/09/15,1
NCS,12/11/15,1
NX,12/14/15,1
NDSN,12/11/15,-1
TTC,12/03/15,1
UTIW,12/03/15,-1
HDS,12/08/15,1
WOR,12/17/15,1
APOG,12/17/15,-1
SCS,12/22/15,-1
ATU,12/17/15,1
LNN,12/23/15,1
NAV,12/17/15,-1
SHLM,01/11/16,-1
MON,01/06/16,1
RPM,01/06/16,1
AA,01/12/16,-1
CMC,01/05/16,-1
SCHN,01/07/16,-1
KMI,01/21/16,1
SYRG,01/08/16,-1
MG,01/07/16,1
UNF,01/06/16,1
BGG,01/21/16,1
GBX,01/07/16,1
KSU,01/22/16,1
UNP,01/21/16,-1
AHGP,01/26/16,-1
ARLP,01/26/16,1
COP,02/04/16,-1
CNX,01/29/16,-1
HES,01/27/16,-1
MUR,01/28/16,1
NAT,02/08/16,-1
SE,02/03/16,-1
PXD,02/11/16,1
APC,02/02/16,1
OXY,02/04/16,-1
TSO,02/02/16,-1
VLO,01/28/16,1
CVX,01/29/16,-1
GPRE,02/11/16,-1
EGN,02/12/16,-1
EQT,02/04/16,1
PSX,01/29/16,-1
MPC,02/03/16,1
PAGP,02/09/16,-1
EQM,02/04/16,1
PSXP,01/29/16,1
MPLX,02/03/16,-1
TLLP,02/02/16,-1
PBF,02/11/16,1
NOV,02/03/16,-1
NR,02/12/16,-1
NE,02/04/16,-1
NSH,01/29/16,-1
NS,01/29/16,1
SPH,02/04/16,-1
RES,01/27/16,-1
PTEN,02/04/16,1
PAA,02/09/16,-1
ATW,02/02/16,1
TDW,02/03/16,1
WFT,02/04/16,1
BWP,02/08/16,1
BRS,02/09/16,1
CRR,01/28/16,1
HAL,01/25/16,1
HP,01/28/16,1
DO,02/08/16,1
MTRX,02/04/16,-1
FET,02/12/16,-1
MET,02/04/16,-1
SFG,02/02/16,-1
NAVG,02/11/16,-1
PGR,01/27/16,1
PRU,02/11/16,-1
AON,02/05/16,1
AIZ,02/10/16,-1
WLTW,02/10/16,-1
WRLD,01/28/16,-1
CSH,01/28/16,1
FCFS,01/28/16,-1
DFS,01/28/16,-1
JLL,02/03/16,-1
TWO,02/04/16,-1
ICE,02/04/16,1
MSCI,02/04/16,1
LC,02/11/16,1
LKFN,01/25/16,1
STBA,01/26/16,-1
BOKF,01/27/16,-1
CPF,01/28/16,-1
CHCO,01/26/16,1
IVZ,01/28/16,-1
ITG,02/04/16,-1
KCG,01/29/16,-1
KKR,02/11/16,-1
TROW,01/28/16,1
PSEC,02/10/16,1
OZM,02/11/16,-1
OHI,02/11/16,1
GHL,01/28/16,-1
EVR,02/03/16,1
NSP,02/12/16,-1
MAN,02/03/16,1
NCI,02/11/16,1
TBI,02/04/16,1
EXPO,02/04/16,1
LLL,01/28/16,1
NOC,01/28/16,1
TDY,02/04/16,1
BA,01/27/16,-1
ESL,02/05/16,-1
LII,02/08/16,-1
MAS,02/09/16,1
SSD,02/05/16,1
AOS,01/29/16,1
OC,02/10/16,1
USG,02/05/16,1
ALLE,02/11/16,1
LABL,02/09/16,-1
ROL,01/27/16,-1
TRI,02/11/16,1
VVI,02/05/16,1
HCSG,02/03/16,-1
KELYA,02/04/16,1
MMM,01/26/16,1
CSL,02/04/16,1
IIVI,01/26/16,1
ROK,01/27/16,1
BGC,02/11/16,-1
EMR,02/02/16,1
ETN,02/03/16,1
SCTY,02/10/16,1
THR,02/03/16,-1
ACM,02/09/16,1
JEC,02/03/16,1
AIN,02/09/16,1
CFX,02/04/16,1
CMI,02/04/16,-1
KMT,02/03/16,1
MTW,01/29/16,1
MTOR,02/03/16,-1
MWA,02/04/16,1
PH,01/26/16,1
PNR,02/02/16,1
OSK,01/28/16,1
PCAR,01/29/16,-1
TKR,02/03/16,1
WNC,02/03/16,1
WBC,02/11/16,1
GRC,02/05/16,-1
GGG,01/26/16,1
ESE,02/10/16,1
PRLB,02/04/16,1
KEX,01/28/16,-1
ALGT,01/28/16,1
JBLU,01/28/16,1
HUBG,02/04/16,1
UPS,02/02/16,1
ECHO,02/05/16,1
FWRD,02/10/16,1
AYR,02/11/16,1
TGH,02/11/16,1
URI,01/28/16,-1
GWW,01/26/16,1
WSO,02/11/16,1
WCC,01/28/16,-1
BECN,02/05/16,1
KNX,01/28/16,1
SWFT,01/26/16,1
SAIA,02/05/16,1
S,01/26/16,-1
CTL,02/11/16,1
ZAYO,02/12/16,-1
LPLA,02/12/16,-1
HLI,02/09/16,-1
VIRT,02/04/16,-1
UHAL,02/04/16,1
BIDU,02/26/16,1
NTES,02/25/16,1
HPQ,02/25/16,-1
SSYS,03/03/16,1
NMBL,03/04/16,-1
IDCC,02/18/16,1
XXIA,02/24/16,1
MSI,02/23/16,1
SONS,02/16/16,1
BRCD,02/18/16,1
CIEN,03/03/16,1
HLIT,02/17/16,1
SATS,02/24/16,1
ANET,02/19/16,1
ITRI,02/18/16,1
ROG,02/23/16,-1
TECD,03/03/16,1
OLED,02/26/16,-1
FARO,02/25/16,1
DAKT,02/23/16,-1
DTSI,03/03/16,1
SCOR,02/17/16,1
CSGP,02/25/16,1
IL,02/25/16,-1
MELI,02/26/16,1
STMP,02/26/16,1
SINA,03/03/16,-1
YNDX,02/16/16,-1
RATE,02/25/16,-1
ENV,02/26/16,1
EQIX,02/19/16,-1
ELNK,02/18/16,-1
ANGI,02/23/16,-1
ETSY,02/24/16,-1
SSTK,02/25/16,1
GOGO,02/25/16,-1
EIGI,02/18/16,-1
ENT,03/04/16,-1
TRUE,02/19/16,-1
LSCC,02/18/16,-1
SMTC,03/03/16,1
PLAB,02/24/16,-1
NVDA,02/18/16,1
TSL,03/03/16,1
VECO,02/23/16,1
FSLR,02/24/16,1
DIOD,02/17/16,1
SPWR,02/18/16,1
AMBA,03/04/16,1
CVG,02/24/16,1
INXN,03/02/16,1
SYKE,03/01/16,1
SYNT,02/18/16,1
SREV,02/23/16,1
EXLS,02/23/16,1
EPAM,02/18/16,1
ACIW,02/25/16,-1
INTU,02/26/16,1
MENT,03/04/16,1
SNPS,02/18/16,1
CRM,02/25/16,-1
RP,02/24/16,1
ADSK,02/26/16,1
TYL,02/18/16,-1
BSFT,02/29/16,1
EBIX,02/29/16,1
EPIQ,03/02/16,1
JIVE,02/18/16,-1
GWRE,03/02/16,1
WDAY,03/01/16,1
SPLK,02/26/16,1
TIVO,03/02/16,-1
BLOX,02/26/16,1
CVT,02/26/16,-1
ZEN,02/17/16,-1
SSNI,02/17/16,-1
TUBE,03/01/16,1
GDDY,02/18/16,1
FIT,02/23/16,1
TWOU,02/26/16,1
BNFT,02/24/16,1
TXTR,02/25/16,1
OPWR,03/01/16,-1
INAP,02/19/16,1
RUBI,02/24/16,1
IMMR,02/26/16,1
APPF,02/23/16,1
PSTG,03/03/16,1
HPE,03/04/16,-1
NPTN,03/02/16,1
TFM,03/24/16,-1
IPAR,03/14/16,-1
OME,03/10/16,-1
GIS,06/29/16,1
YGE,06/14/16,1
FNSR,06/17/16,1
MEI,06/23/16,1
